"Sl. No. (Col.1)","Category (Col.2)","State/UT (Col.3)","Un-Married - Male (Col.4)","Un-Married - Female (Col.5)","Un-Married - Transgender (Col.6)","Un-Married - Total (Col.7)","Married - Male (Col.8)","Married - Female (Col.9)","Married - Transgender (Col.10)","Married - Total (Col.11)","Widowed/Widower - Male (Col.12)","Widowed/Widower - Female (Col.13)","Widowed/Widower - Transgender (Col.14)","Widowed/Widower - Total (Col.15)","Divorcee - Male (Col.16)","Divorcee - Female (Col.17)","Divorcee - Transgender (Col.18)","Divorcee - Total (Col.19)","Separated - Male (Col.20)","Separated - Female (Col.21)","Separated - Transgender (Col.22)","Separated - Total (Col.23)","Others - Male (Col.24)","Others - Female (Col.25)","Others - Transgender (Col.26)","Others - Total (Col.27)","Status Not Known - Male (Col.28)","Status Not Known - Female (Col.29)","Status Not Known - Transgender (Col.30)","Status Not Known - Total (Col.31)","Total - Male (Col.32)","Total - Female (Col.33)","Total - Transgender (Col.34)","Total(Col.34)"
"1","State","ANDHRA PRADESH","651","359","0","1010","2824","1172","0","3996","78","87","0","165","23","6","0","29","57","23","0","80","25","10","0","35","649","262","0","911","4307","1919","0","6226"
"2","State","ARUNACHAL PRADESH","23","22","0","45","31","13","0","44","1","0","0","1","0","0","0","0","0","0","0","0","17","8","0","25","17","3","0","20","89","46","0","135"
"3","State","ASSAM","604","273","0","877","1677","572","0","2249","20","9","0","29","15","9","0","24","23","0","0","23","9","0","0","9","16","4","0","20","2364","867","0","3231"
"4","State","BIHAR","123","98","0","221","129","102","0","231","0","1","0","1","0","1","0","1","0","1","0","1","13","9","0","22","25","14","0","39","290","226","0","516"
"5","State","CHHATTISGARH","1041","566","0","1607","3198","1284","0","4482","123","55","0","178","48","18","0","66","33","30","0","63","106","22","0","128","425","168","1","594","4974","2143","1","7118"
"6","State","GOA","86","24","0","110","123","52","0","175","0","4","0","4","1","0","0","1","0","0","0","0","1","0","0","1","9","2","0","11","220","82","0","302"
"7","State","GUJARAT","931","618","0","1549","3450","1805","0","5255","115","70","0","185","37","23","0","60","92","1","0","93","42","10","0","52","37","15","0","52","4704","2542","0","7246"
"8","State","HARYANA","529","189","0","718","1815","434","0","2249","37","23","0","60","7","3","0","10","0","2","0","2","56","19","0","75","360","71","0","431","2804","741","0","3545"
"9","State","HIMACHAL PRADESH","93","48","0","141","196","115","0","311","12","10","0","22","0","5","0","5","12","6","0","18","30","12","0","42","4","0","0","4","347","196","0","543"
"10","State","JAMMU & KASHMIR","50","50","0","100","80","73","0","153","0","0","0","0","0","0","0","0","0","0","0","0","27","17","0","44","45","30","0","75","202","170","0","372"
"11","State","JHARKHAND","142","76","0","218","390","169","0","559","6","11","0","17","3","7","0","10","5","1","0","6","8","1","0","9","13","3","0","16","567","268","0","835"
"12","State","KARNATAKA","1530","723","0","2253","5412","2370","0","7782","69","65","0","134","22","22","0","44","17","7","0","24","238","93","0","331","166","52","0","218","7454","3332","0","10786"
"13","State","KERALA","926","391","0","1317","4288","1264","0","5552","174","101","0","275","86","58","0","144","83","28","0","111","166","18","0","184","105","4","0","109","5828","1864","0","7692"
"14","State","MADHYA PRADESH","1370","942","0","2312","4658","2921","0","7579","94","74","0","168","17","15","0","32","23","18","0","41","63","14","0","77","69","15","0","84","6294","3999","0","10293"
"15","State","MAHARASHTRA","2332","1086","2","3420","9931","2974","0","12905","219","169","0","388","44","54","0","98","37","10","0","47","25","18","0","43","66","3","0","69","12654","4314","2","16970"
"16","State","MANIPUR","5","4","0","9","16","12","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","16","0","37"
"17","State","MEGHALAYA","50","17","0","67","59","21","0","80","3","2","0","5","0","0","0","0","5","0","0","5","0","0","0","0","14","1","0","15","131","41","0","172"
"18","State","MIZORAM","38","6","0","44","30","9","0","39","2","0","0","2","15","3","0","18","1","2","0","3","13","2","0","15","2","0","0","2","101","22","0","123"
"19","State","NAGALAND","10","4","0","14","6","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","5","0","21"
"20","State","ODISHA","474","329","0","803","1346","851","0","2197","24","39","0","63","16","41","0","57","62","37","0","99","220","209","0","429","233","206","0","439","2375","1712","0","4087"
"21","State","PUNJAB","226","51","0","277","577","178","0","755","5","2","0","7","0","0","0","0","0","1","0","1","7","1","0","8","1","0","0","1","816","233","0","1049"
"22","State","RAJASTHAN","516","201","0","717","1807","662","0","2469","20","16","0","36","5","1","0","6","4","1","0","5","72","18","0","90","113","21","0","134","2537","920","0","3457"
"23","State","SIKKIM","65","29","0","94","99","34","0","133","0","5","0","5","1","1","0","2","1","1","0","2","4","1","0","5","0","0","0","0","170","71","0","241"
"24","State","TAMIL NADU","2459","1100","2","3561","7682","3556","0","11238","128","155","0","283","31","38","0","69","164","80","0","244","133","77","0","210","137","35","0","172","10734","5041","2","15777"
"25","State","TELANGANA","940","496","0","1436","5774","1954","0","7728","62","143","0","205","45","18","0","63","72","20","0","92","152","92","1","245","264","106","1","371","7309","2829","2","10140"
"26","State","TRIPURA","116","88","0","204","325","169","0","494","0","7","0","7","8","2","0","10","5","1","0","6","13","3","0","16","8","1","0","9","475","271","0","746"
"27","State","UTTAR PRADESH","473","336","0","809","1382","1099","0","2481","43","29","0","72","28","24","0","52","17","5","0","22","182","75","0","257","164","45","0","209","2289","1613","0","3902"
"28","State","UTTARAKHAND","101","32","0","133","200","81","0","281","8","4","0","12","5","0","0","5","7","2","0","9","10","4","0","14","15","6","0","21","346","129","0","475"
"29","State","WEST BENGAL","2084","1269","0","3353","5691","3802","0","9493","39","67","0","106","60","38","0","98","52","25","0","77","292","116","0","408","847","220","0","1067","9065","5537","0","14602"
"TOTAL (STATES)","TOTAL (STATES)","TOTAL (STATES)","17988","9427","4","27419","63196","27749","0","90945","1282","1148","0","2430","517","387","0","904","772","302","0","1074","1924","849","1","2774","3804","1287","2","5093","89483","41149","7","130639"
"30","Union Territories","A & N ISLANDS","16","15","0","31","92","35","0","127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108","50","0","158"
"31","Union Territories","CHANDIGARH","22","19","0","41","51","28","0","79","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","74","47","0","121"
"32","Union Territories","D & N HAVELI","26","8","0","34","42","19","0","61","4","3","0","7","0","0","0","0","2","1","0","3","0","1","0","1","0","0","0","0","74","32","0","106"
"33","Union Territories","DAMAN & DIU","6","3","0","9","16","8","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","3","0","0","3","25","13","0","38"
"34","Union Territories","DELHI (UT)","330","213","0","543","729","393","0","1122","5","1","0","6","1","1","0","2","1","2","0","3","41","8","0","49","90","30","0","120","1197","648","0","1845"
"35","Union Territories","LAKSHADWEEP","2","1","0","3","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","5"
"36","Union Territories","PUDUCHERRY","80","19","0","99","406","112","0","518","0","6","0","6","0","0","0","0","9","1","0","10","42","7","0","49","26","3","0","29","563","148","0","711"
"TOTAL (UTs)","TOTAL (UTs)","TOTAL (UTs)","482","278","0","760","1338","595","0","1933","9","10","0","19","2","1","0","3","12","4","0","16","83","18","0","101","119","33","0","152","2045","939","0","2984"
